986502618427125761,"ABCNEWS reports Theresa May rejects opposition calls for law requiring Parliament's approval to commit U.K. forces… https://t.co/DvucDzmrxD","","2018-04-18","Kansas"
986450152419454977,"","political HEDGE","2018-04-18","Kansas"
987131046478123009,"Further questions &amp; comments from @RepThomasMassie re absence of critical evidence justifying Syria airstrike. Did… https://t.co/9f296nXE0m","Kaven Thibault","2018-04-20","Kansas"
987657962570354689,"German Parliament Lawyers Brand US-Led Airstrike on Syria Illegal https://t.co/CSUpHBFI3n","TroubledDays","2018-04-21","Kansas"
987814329729732609,"@Petejohn77 @VanessaBeeley @Icon99558924 @blondenfun1  Under the Obama administration US airstrikes on Hospitals an… https://t.co/HRQ7JoG8Z3","Dreaming of Peace","2018-04-21","Kansas"
986585347332235265,"UK's May rejects criticism over Syria airstrike decision https://t.co/VplyFSwjfh","Nuek ","2018-04-18","Kansas"
986132161773236225,"Another suspected Israel airstrike in Syria\
HeatMap Column 2&gt; \
  #Threat  #StrategicEnvironment  #IsraeliIranianWar… https://t.co/SXZEBxmLbm","FutureDanger Unveil","2018-04-17","Kansas"
986163416682332162,"","political HEDGE","2018-04-17","Kansas"
986264034205929474,"Corbyn HOWLED DOWN after side-stepping Syria airstrike question in HEATED Commons debate THE NEWS - GROUP OF WORLD… https://t.co/XlDlb9BvPl","Newsgw","2018-04-17","Kansas"
986137242346369026,"Cyprus Peace Groups Protest Syria Airstrike at US Embassy https://t.co/EqhNoMmmUP","Nuek ","2018-04-17","Kansas"
986379701642866693,"UK's May Rejects Criticism Over Syria Airstrike Decision - https://t.co/SdFfe9TFWb https://t.co/EuyS4otjkw","Yeshiva World News","2018-04-17","Kansas"
986313945433587717,"Putin slams Syria airstrike but Russia's response is expected to be muted - CNBC https://t.co/oFMOr6O1XF","Freedom","2018-04-17","Kansas"
986464121938833413,"US airstrikes on Syria risk becoming 'historical footnote' without wider strategy - from @CBC : https://t.co/gn38r0Qr8Z","USAF News","2018-04-18","Kansas"
986297992054497286,"'EXPLOSION' at ISRAELI held area of Golan Heights near Syria border after AIRSTRIKE https://t.co/uRMsHWVu4F","Bee Sting","2018-04-17","Kansas"
986469359978733568,"Video shows the first look at the damage on the ground after the US, France and the UK launched coordinated strikes… https://t.co/Pb0MxHXQTi","JW Putney","2018-04-18","Maryland"
988848553555648512,"Opinion: Trump’s airstrike on Syria did not aid the people of Syria, despite his declared “Mission Accomplished.”… https://t.co/lvRWUX0kVF","JHU News-Letter","2018-04-24","Maryland"
986168807885590529,"#BreakingNews Reports of another airstrike overnight in Syria. Syrian state-run media reports the country's air def… https://t.co/tyJb6Vs8kq","Ashley James","2018-04-17","Maryland"
986622917244018688,"\"The strikes were not intended to topple Mr. Assad, damage the Russian and Iranian allies that support his troops,… https://t.co/AJ0WN9Skym","Waqas Mirza","2018-04-18","Massachusetts"
988518964350345216,"Wait? Run? Views From Below a Syria Airstrike - The New York Times https://t.co/rfGLdPqLzs","Keith Florian","2018-04-23","Massachusetts"
